Event order;case;event;startTime;completeTime;Concept drift;Activity name;Role;Department;Cost;Amount
3263;289;B;2019/01/14 11:48:29;2019/01/14 11:48:29;No;Return application back to applicant;Loan Officer;Customer Service;7.050920163;12286.90782
3264;288;M;2019/01/14 11:51:19;2019/01/14 11:51:19;No;Verify repayment agreement;Loan Officer;Customer Service;9.69600847;11171.39604
3265;292;C;2019/01/14 11:51:49;2019/01/14 11:51:49;No;Receive updated application;Loan Officer;Customer Service;8.867529581;14603.25006
3266;295;A;2019/01/14 11:52:47;2019/01/14 11:52:47;No;Check application form completeness;Loan Officer;Customer Service;9.936395144;5724.527796
3267;297;C;2019/01/14 11:54:30;2019/01/14 11:54:30;No;Receive updated application;Loan Officer;Customer Service;8.241764649;13580.6637
3268;287;J;2019/01/14 11:55:52;2019/01/14 11:55:52;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;8.881140863;10508.02581
3269;296;E;2019/01/14 11:59:40;2019/01/14 11:59:40;No;Assess loan risk;Risk Manager;Customer Service;25.86833803;12689.98557
3270;300;A;2019/01/14 12:00:00;2019/01/14 12:00:00;No;Check application form completeness;Loan Officer;Customer Service;9.369946677;10379.08152
3271;291;J;2019/01/14 12:00:57;2019/01/14 12:00:57;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;6.708007594;12122.03871
3272;286;E;2019/01/14 12:01:10;2019/01/14 12:01:10;No;Assess loan risk;Risk Manager;Customer Service;18.71149847;8310.268134
3273;282;N;2019/01/14 12:01:17;2019/01/14 12:01:17;No;Cancel application;Loan Officer;Customer Service;8.168276802;8985.087793
3274;276;K;2019/01/14 12:01:58;2019/01/14 12:01:58;No;Send home insurance quote;Insurance Agent;Customer Service;7.111115766;9742.238591
3275;290;L;2019/01/14 12:02:13;2019/01/14 12:02:13;No;Send acceptance pack;Loan Officer;Customer Service;7.152846091;11884.64564
3276;264;A;2019/01/14 12:02:34;2019/01/14 12:02:34;No;Check application form completeness;Loan Officer;Customer Service;16.02253177;7787.029668
3277;294;B;2019/01/14 12:07:47;2019/01/14 12:07:47;No;Return application back to applicant;Loan Officer;Customer Service;6.980328802;12262.22174
3278;299;D;2019/01/14 12:14:07;2019/01/14 12:14:07;No;Check credit history;Credit Analyst;Customer Service;15.88823464;7342.010204
3279;293;I;2019/01/14 12:14:33;2019/01/14 12:14:33;No;Prepare acceptance pack;Loan Officer;Customer Service;14.27851526;9559.471351
3280;298;C;2019/01/14 12:16:29;2019/01/14 12:16:29;No;Receive updated application;Loan Officer;Customer Service;7.555380765;7363.785065
3281;292;A;2019/01/14 12:18:08;2019/01/14 12:18:08;No;Check application form completeness;Loan Officer;Customer Service;8.169258416;14603.25006
3282;301;A;2019/01/14 12:20:00;2019/01/14 12:20:00;No;Check application form completeness;Loan Officer;Customer Service;9.955057784;11604.07139
3283;288;N;2019/01/14 12:21:13;2019/01/14 12:21:13;No;Cancel application;Loan Officer;Customer Service;8.035116347;11171.39604
3284;289;C;2019/01/14 12:23:47;2019/01/14 12:23:47;No;Receive updated application;Loan Officer;Customer Service;8.884985152;12286.90782
3285;287;L;2019/01/14 12:23:53;2019/01/14 12:23:53;No;Send acceptance pack;Loan Officer;Customer Service;11.8710014;10508.02581
3286;291;K;2019/01/14 12:24:16;2019/01/14 12:24:16;No;Send home insurance quote;Insurance Agent;Customer Service;7.952625538;12122.03871
3287;295;D;2019/01/14 12:26:36;2019/01/14 12:26:36;No;Check credit history;Credit Analyst;Customer Service;12.77269829;5724.527796
3288;297;A;2019/01/14 12:28:04;2019/01/14 12:28:04;No;Check application form completeness;Loan Officer;Customer Service;11.2004637;13580.6637
3289;264;D;2019/01/14 12:28:54;2019/01/14 12:28:54;No;Check credit history;Credit Analyst;Customer Service;16.80367236;7787.029668
3290;300;B;2019/01/14 12:31:07;2019/01/14 12:31:07;No;Return application back to applicant;Loan Officer;Customer Service;4.288972221;10379.08152
3291;286;G;2019/01/14 12:32:42;2019/01/14 12:32:42;No;Assess eligibility;Risk Manager;Customer Service;16.09729733;8310.268134
3292;296;G;2019/01/14 12:33:16;2019/01/14 12:33:16;No;Assess eligibility;Risk Manager;Customer Service;20.68424966;12689.98557
3293;290;M;2019/01/14 12:34:00;2019/01/14 12:34:00;No;Verify repayment agreement;Loan Officer;Customer Service;8.469312453;11884.64564
3294;276;M;2019/01/14 12:35:17;2019/01/14 12:35:17;No;Verify repayment agreement;Loan Officer;Customer Service;10.44813257;9742.238591
3295;294;C;2019/01/14 12:39:51;2019/01/14 12:39:51;No;Receive updated application;Loan Officer;Customer Service;8.642052469;12262.22174
3296;302;A;2019/01/14 12:40:00;2019/01/14 12:40:00;No;Check application form completeness;Loan Officer;Customer Service;9.678473307;11230.56293
3297;299;F;2019/01/14 12:42:33;2019/01/14 12:42:33;No;Appraise property;Appraiser;Customer Service;22.63723802;7342.010204
3298;301;B;2019/01/14 12:47:13;2019/01/14 12:47:13;No;Return application back to applicant;Loan Officer;Customer Service;7.284863845;11604.07139
3299;293;J;2019/01/14 12:47:15;2019/01/14 12:47:15;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;7.240527695;9559.471351
3300;292;D;2019/01/14 12:49:31;2019/01/14 12:49:31;No;Check credit history;Credit Analyst;Customer Service;16.21932979;14603.25006
3301;298;A;2019/01/14 12:51:40;2019/01/14 12:51:40;No;Check application form completeness;Loan Officer;Customer Service;12.90830814;7363.785065
3302;291;M;2019/01/14 12:51:47;2019/01/14 12:51:47;No;Verify repayment agreement;Loan Officer;Customer Service;10.55160336;12122.03871
3303;295;F;2019/01/14 12:54:25;2019/01/14 12:54:25;No;Appraise property;Appraiser;Customer Service;23.77659331;5724.527796
3304;289;A;2019/01/14 12:54:55;2019/01/14 12:54:55;No;Check application form completeness;Loan Officer;Customer Service;9.067163759;12286.90782
3305;297;D;2019/01/14 12:57:07;2019/01/14 12:57:07;No;Check credit history;Credit Analyst;Customer Service;13.59565828;13580.6637
3306;287;M;2019/01/14 12:57:34;2019/01/14 12:57:34;No;Verify repayment agreement;Loan Officer;Customer Service;10.40161887;10508.02581
3307;264;F;2019/01/14 12:58:34;2019/01/14 12:58:34;No;Appraise property;Appraiser;Customer Service;19.56021927;7787.029668
3308;286;I;2019/01/14 12:59:25;2019/01/14 12:59:25;No;Prepare acceptance pack;Loan Officer;Customer Service;13.67084248;8310.268134
3309;296;H;2019/01/14 12:59:48;2019/01/14 12:59:48;No;Reject application;Loan Officer;Customer Service;7.246574856;12689.98557
3310;303;A;2019/01/14 13:00:00;2019/01/14 13:00:00;No;Check application form completeness;Loan Officer;Customer Service;9.59232607;9188.340024
3311;290;N;2019/01/14 13:03:10;2019/01/14 13:03:10;No;Cancel application;Loan Officer;Customer Service;9.197189588;11884.64564
3312;300;C;2019/01/14 13:03:27;2019/01/14 13:03:27;No;Receive updated application;Loan Officer;Customer Service;7.109673124;10379.08152
3313;276;N;2019/01/14 13:09:19;2019/01/14 13:09:19;No;Cancel application;Loan Officer;Customer Service;8.691626738;9742.238591
3314;302;B;2019/01/14 13:10:09;2019/01/14 13:10:09;No;Return application back to applicant;Loan Officer;Customer Service;6.390206024;11230.56293
3315;294;A;2019/01/14 13:12:56;2019/01/14 13:12:56;No;Check application form completeness;Loan Officer;Customer Service;8.483302746;12262.22174
3316;293;K;2019/01/14 13:15:22;2019/01/14 13:15:22;No;Send home insurance quote;Insurance Agent;Customer Service;7.58241946;9559.471351
3317;299;E;2019/01/14 13:16:03;2019/01/14 13:16:03;No;Assess loan risk;Risk Manager;Customer Service;19.18604634;7342.010204
3318;301;C;2019/01/14 13:17:41;2019/01/14 13:17:41;No;Receive updated application;Loan Officer;Customer Service;7.221509082;11604.07139
3319;292;F;2019/01/14 13:19:23;2019/01/14 13:19:23;No;Appraise property;Appraiser;Customer Service;21.44700357;14603.25006
3320;304;A;2019/01/14 13:20:00;2019/01/14 13:20:00;No;Check application form completeness;Loan Officer;Customer Service;13.8107094;9384.663722
3321;264;E;2019/01/14 13:20:31;2019/01/14 13:20:31;No;Assess loan risk;Risk Manager;Customer Service;15.8611539;7787.029668
3322;298;D;2019/01/14 13:22:57;2019/01/14 13:22:57;No;Check credit history;Credit Analyst;Customer Service;15.3553279;7363.785065
3323;291;O;2019/01/14 13:23:01;2019/01/14 13:23:01;No;Approve application;Loan Officer;Customer Service;14.52267034;12122.03871
3324;286;J;2019/01/14 13:26:36;2019/01/14 13:26:36;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;8.630618237;8310.268134
3325;289;B;2019/01/14 13:27:20;2019/01/14 13:27:20;No;Return application back to applicant;Loan Officer;Customer Service;7.998900085;12286.90782
3326;297;F;2019/01/14 13:28:28;2019/01/14 13:28:28;No;Appraise property;Appraiser;Customer Service;18.72456854;13580.6637
3327;303;D;2019/01/14 13:30:19;2019/01/14 13:30:19;No;Check credit history;Credit Analyst;Customer Service;15.55353085;9188.340024
3328;295;E;2019/01/14 13:31:15;2019/01/14 13:31:15;No;Assess loan risk;Risk Manager;Customer Service;18.23245582;5724.527796
3329;300;A;2019/01/14 13:31:53;2019/01/14 13:31:53;No;Check application form completeness;Loan Officer;Customer Service;7.454275413;10379.08152
3330;302;C;2019/01/14 13:33:21;2019/01/14 13:33:21;No;Receive updated application;Loan Officer;Customer Service;8.898007274;11230.56293
3331;287;O;2019/01/14 13:36:09;2019/01/14 13:36:09;No;Approve application;Loan Officer;Customer Service;14.30959111;10508.02581
3332;305;A;2019/01/14 13:40:00;2019/01/14 13:40:00;No;Check application form completeness;Loan Officer;Customer Service;10.9657501;11337.38063
3333;294;B;2019/01/14 13:43:21;2019/01/14 13:43:21;No;Return application back to applicant;Loan Officer;Customer Service;6.713093881;12262.22174
3334;293;M;2019/01/14 13:44:26;2019/01/14 13:44:26;No;Verify repayment agreement;Loan Officer;Customer Service;6.811962839;9559.471351
3335;301;A;2019/01/14 13:45:43;2019/01/14 13:45:43;No;Check application form completeness;Loan Officer;Customer Service;9.835095413;11604.07139
3336;292;E;2019/01/14 13:46:01;2019/01/14 13:46:01;No;Assess loan risk;Risk Manager;Customer Service;13.74069552;14603.25006
3337;299;G;2019/01/14 13:47:25;2019/01/14 13:47:25;No;Assess eligibility;Risk Manager;Customer Service;22.51581329;7342.010204
3338;264;G;2019/01/14 13:53:41;2019/01/14 13:53:41;No;Assess eligibility;Risk Manager;Customer Service;21.45179496;7787.029668
3339;298;F;2019/01/14 13:53:44;2019/01/14 13:53:44;No;Appraise property;Appraiser;Customer Service;27.17480414;7363.785065
3340;304;B;2019/01/14 13:53:54;2019/01/14 13:53:54;No;Return application back to applicant;Loan Officer;Customer Service;6.348865797;9384.663722
3341;286;L;2019/01/14 13:55:20;2019/01/14 13:55:20;No;Send acceptance pack;Loan Officer;Customer Service;14.47307486;8310.268134
3342;289;C;2019/01/14 13:55:40;2019/01/14 13:55:40;No;Receive updated application;Loan Officer;Customer Service;8.792591123;12286.90782
3343;303;F;2019/01/14 13:58:22;2019/01/14 13:58:22;No;Appraise property;Appraiser;Customer Service;20.93980213;9188.340024
3344;297;E;2019/01/14 13:58:41;2019/01/14 13:58:41;No;Assess loan risk;Risk Manager;Customer Service;17.27305477;13580.6637
3345;306;A;2019/01/14 14:00:00;2019/01/14 14:00:00;No;Check application form completeness;Loan Officer;Customer Service;13.21133173;9031.179883
3346;295;G;2019/01/14 14:01:31;2019/01/14 14:01:31;No;Assess eligibility;Risk Manager;Customer Service;18.55331845;5724.527796
3347;300;B;2019/01/14 14:02:42;2019/01/14 14:02:42;No;Return application back to applicant;Loan Officer;Customer Service;7.960529502;10379.08152
3348;302;A;2019/01/14 14:04:42;2019/01/14 14:04:42;No;Check application form completeness;Loan Officer;Customer Service;7.044565986;11230.56293
3349;305;B;2019/01/14 14:06:48;2019/01/14 14:06:48;No;Return application back to applicant;Loan Officer;Customer Service;7.528710261;11337.38063
3350;294;C;2019/01/14 14:10:06;2019/01/14 14:10:06;No;Receive updated application;Loan Officer;Customer Service;9.261117652;12262.22174
3351;293;O;2019/01/14 14:13:13;2019/01/14 14:13:13;No;Approve application;Loan Officer;Customer Service;16.53760285;9559.471351
3352;299;I;2019/01/14 14:15:13;2019/01/14 14:15:13;No;Prepare acceptance pack;Loan Officer;Customer Service;12.5050253;7342.010204
3353;301;B;2019/01/14 14:15:34;2019/01/14 14:15:34;No;Return application back to applicant;Loan Officer;Customer Service;6.026588301;11604.07139
3354;292;G;2019/01/14 14:17:19;2019/01/14 14:17:19;No;Assess eligibility;Risk Manager;Customer Service;16.88399996;14603.25006
3355;307;A;2019/01/14 14:20:00;2019/01/14 14:20:00;No;Check application form completeness;Loan Officer;Customer Service;9.609068379;10951.1416
3356;304;C;2019/01/14 14:22:14;2019/01/14 14:22:14;No;Receive updated application;Loan Officer;Customer Service;8.709527337;9384.663722
3357;286;M;2019/01/14 14:24:20;2019/01/14 14:24:20;No;Verify repayment agreement;Loan Officer;Customer Service;10.229335;8310.268134
3358;289;A;2019/01/14 14:24:28;2019/01/14 14:24:28;No;Check application form completeness;Loan Officer;Customer Service;10.02839257;12286.90782
3359;295;H;2019/01/14 14:25:26;2019/01/14 14:25:26;No;Reject application;Loan Officer;Customer Service;7.42159787;5724.527796
3360;264;I;2019/01/14 14:25:37;2019/01/14 14:25:37;No;Prepare acceptance pack;Loan Officer;Customer Service;13.30478924;7787.029668
3361;297;G;2019/01/14 14:27:05;2019/01/14 14:27:05;No;Assess eligibility;Risk Manager;Customer Service;19.59869013;13580.6637
3362;298;E;2019/01/14 14:28:08;2019/01/14 14:28:08;No;Assess loan risk;Risk Manager;Customer Service;21.34134711;7363.785065
3363;303;E;2019/01/14 14:28:28;2019/01/14 14:28:28;No;Assess loan risk;Risk Manager;Customer Service;22.57094387;9188.340024
3364;306;B;2019/01/14 14:30:03;2019/01/14 14:30:03;No;Return application back to applicant;Loan Officer;Customer Service;6.736290875;9031.179883
3365;302;D;2019/01/14 14:34:14;2019/01/14 14:34:14;No;Check credit history;Credit Analyst;Customer Service;17.48325907;11230.56293
3366;294;A;2019/01/14 14:34:58;2019/01/14 14:34:58;No;Check application form completeness;Loan Officer;Customer Service;9.608242877;12262.22174
3367;300;C;2019/01/14 14:38:17;2019/01/14 14:38:17;No;Receive updated application;Loan Officer;Customer Service;9.159684623;10379.08152
3368;305;C;2019/01/14 14:38:17;2019/01/14 14:38:17;No;Receive updated application;Loan Officer;Customer Service;7.95256002;11337.38063
3369;308;A;2019/01/14 14:40:00;2019/01/14 14:40:00;No;Check application form completeness;Loan Officer;Customer Service;10.87639134;10970.89437
3370;301;C;2019/01/14 14:41:41;2019/01/14 14:41:41;No;Receive updated application;Loan Officer;Customer Service;7.624241767;11604.07139
3371;299;J;2019/01/14 14:47:50;2019/01/14 14:47:50;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;12.85970772;7342.010204
3372;307;D;2019/01/14 14:48:02;2019/01/14 14:48:02;No;Check credit history;Credit Analyst;Customer Service;13.37748229;10951.1416
3373;304;A;2019/01/14 14:49:46;2019/01/14 14:49:46;No;Check application form completeness;Loan Officer;Customer Service;12.4625995;9384.663722
3374;292;H;2019/01/14 14:50:04;2019/01/14 14:50:04;No;Reject application;Loan Officer;Customer Service;15.24160481;14603.25006
3375;298;G;2019/01/14 14:52:10;2019/01/14 14:52:10;No;Assess eligibility;Risk Manager;Customer Service;17.50100943;7363.785065
3376;297;H;2019/01/14 14:54:28;2019/01/14 14:54:28;No;Reject application;Loan Officer;Customer Service;12.82716882;13580.6637
3377;264;J;2019/01/14 14:55:54;2019/01/14 14:55:54;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;10.80301641;7787.029668
3378;286;N;2019/01/14 14:56:03;2019/01/14 14:56:03;No;Cancel application;Loan Officer;Customer Service;11.35695982;8310.268134
3379;289;B;2019/01/14 14:56:57;2019/01/14 14:56:57;No;Return application back to applicant;Loan Officer;Customer Service;9.234230936;12286.90782
3380;303;G;2019/01/14 14:57:03;2019/01/14 14:57:03;No;Assess eligibility;Risk Manager;Customer Service;17.80163279;9188.340024
3381;309;A;2019/01/14 15:00:00;2019/01/14 15:00:00;No;Check application form completeness;Loan Officer;Customer Service;8.355526628;10564.22509
3382;294;D;2019/01/14 15:01:58;2019/01/14 15:01:58;No;Check credit history;Credit Analyst;Customer Service;13.51431738;12262.22174
3383;306;C;2019/01/14 15:04:00;2019/01/14 15:04:00;No;Receive updated application;Loan Officer;Customer Service;5.498110214;9031.179883
3384;302;F;2019/01/14 15:04:07;2019/01/14 15:04:07;No;Appraise property;Appraiser;Customer Service;27.10282803;11230.56293
3385;300;A;2019/01/14 15:06:00;2019/01/14 15:06:00;No;Check application form completeness;Loan Officer;Customer Service;9.439016762;10379.08152
3386;305;A;2019/01/14 15:06:32;2019/01/14 15:06:32;No;Check application form completeness;Loan Officer;Customer Service;13.12005157;11337.38063
3387;308;B;2019/01/14 15:08:07;2019/01/14 15:08:07;No;Return application back to applicant;Loan Officer;Customer Service;6.110023091;10970.89437
3388;301;A;2019/01/14 15:10:49;2019/01/14 15:10:49;No;Check application form completeness;Loan Officer;Customer Service;8.549563186;11604.07139
3389;307;F;2019/01/14 15:16:56;2019/01/14 15:16:56;No;Appraise property;Appraiser;Customer Service;22.48876327;10951.1416
3390;310;A;2019/01/14 15:20:00;2019/01/14 15:20:00;No;Check application form completeness;Loan Officer;Customer Service;9.307656511;7030.417341
3391;299;K;2019/01/14 15:20:06;2019/01/14 15:20:06;No;Send home insurance quote;Insurance Agent;Customer Service;8.493069996;7342.010204
3392;304;B;2019/01/14 15:20:44;2019/01/14 15:20:44;No;Return application back to applicant;Loan Officer;Customer Service;5.809412514;9384.663722
3393;298;I;2019/01/14 15:23:01;2019/01/14 15:23:01;No;Prepare acceptance pack;Loan Officer;Customer Service;15.21517297;7363.785065
3394;303;I;2019/01/14 15:24:06;2019/01/14 15:24:06;No;Prepare acceptance pack;Loan Officer;Customer Service;10.80006139;9188.340024
3395;264;L;2019/01/14 15:29:51;2019/01/14 15:29:51;No;Send acceptance pack;Loan Officer;Customer Service;10.0354286;7787.029668
3396;309;D;2019/01/14 15:30:41;2019/01/14 15:30:41;No;Check credit history;Credit Analyst;Customer Service;17.63644738;10564.22509
3397;289;C;2019/01/14 15:30:50;2019/01/14 15:30:50;No;Receive updated application;Loan Officer;Customer Service;9.015789031;12286.90782
3398;305;D;2019/01/14 15:32:29;2019/01/14 15:32:29;No;Check credit history;Credit Analyst;Customer Service;12.79242818;11337.38063
3399;306;A;2019/01/14 15:33:16;2019/01/14 15:33:16;No;Check application form completeness;Loan Officer;Customer Service;8.081799882;9031.179883
3400;302;E;2019/01/14 15:33:52;2019/01/14 15:33:52;No;Assess loan risk;Risk Manager;Customer Service;18.40928582;11230.56293
3401;294;F;2019/01/14 15:35:15;2019/01/14 15:35:15;No;Appraise property;Appraiser;Customer Service;25.93496382;12262.22174
3402;301;B;2019/01/14 15:35:48;2019/01/14 15:35:48;No;Return application back to applicant;Loan Officer;Customer Service;5.934094647;11604.07139
3403;300;B;2019/01/14 15:36:58;2019/01/14 15:36:58;No;Return application back to applicant;Loan Officer;Customer Service;7.437397892;10379.08152
3404;308;C;2019/01/14 15:37:13;2019/01/14 15:37:13;No;Receive updated application;Loan Officer;Customer Service;7.024294496;10970.89437
3405;311;A;2019/01/14 15:40:00;2019/01/14 15:40:00;No;Check application form completeness;Loan Officer;Customer Service;9.058509544;9097.823206
3406;307;E;2019/01/14 15:44:28;2019/01/14 15:44:28;No;Assess loan risk;Risk Manager;Customer Service;19.98432785;10951.1416
3407;299;M;2019/01/14 15:50:05;2019/01/14 15:50:05;No;Verify repayment agreement;Loan Officer;Customer Service;8.340963993;7342.010204
3408;304;C;2019/01/14 15:51:36;2019/01/14 15:51:36;No;Receive updated application;Loan Officer;Customer Service;6.865555463;9384.663722
3409;310;B;2019/01/14 15:51:42;2019/01/14 15:51:42;No;Return application back to applicant;Loan Officer;Customer Service;7.346856701;7030.417341
3410;264;M;2019/01/14 15:52:15;2019/01/14 15:52:15;No;Verify repayment agreement;Loan Officer;Customer Service;9.540724122;7787.029668
3411;298;J;2019/01/14 15:55:55;2019/01/14 15:55:55;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;11.74141467;7363.785065
3412;303;J;2019/01/14 15:56:36;2019/01/14 15:56:36;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;8.574855596;9188.340024
3413;312;A;2019/01/14 16:00:00;2019/01/14 16:00:00;No;Check application form completeness;Loan Officer;Customer Service;11.03924702;9718.344703
3414;305;F;2019/01/14 16:00:58;2019/01/14 16:00:58;No;Appraise property;Appraiser;Customer Service;23.39928951;11337.38063
3415;308;A;2019/01/14 16:01:45;2019/01/14 16:01:45;No;Check application form completeness;Loan Officer;Customer Service;7.4032724;10970.89437
3416;309;F;2019/01/14 16:03:40;2019/01/14 16:03:40;No;Appraise property;Appraiser;Customer Service;28.52809558;10564.22509
3417;306;D;2019/01/14 16:04:10;2019/01/14 16:04:10;No;Check credit history;Credit Analyst;Customer Service;13.63346584;9031.179883
3418;302;G;2019/01/14 16:04:11;2019/01/14 16:04:11;No;Assess eligibility;Risk Manager;Customer Service;19.00609116;11230.56293
3419;289;A;2019/01/14 16:05:30;2019/01/14 16:05:30;No;Check application form completeness;Loan Officer;Customer Service;10.11430201;12286.90782
3420;301;C;2019/01/14 16:06:11;2019/01/14 16:06:11;No;Receive updated application;Loan Officer;Customer Service;9.601710064;11604.07139
3421;311;B;2019/01/14 16:08:07;2019/01/14 16:08:07;No;Return application back to applicant;Loan Officer;Customer Service;8.217071263;9097.823206
3422;294;E;2019/01/14 16:08:46;2019/01/14 16:08:46;No;Assess loan risk;Risk Manager;Customer Service;16.3671647;12262.22174
3423;300;C;2019/01/14 16:11:21;2019/01/14 16:11:21;No;Receive updated application;Loan Officer;Customer Service;7.291617282;10379.08152
3424;307;G;2019/01/14 16:12:22;2019/01/14 16:12:22;No;Assess eligibility;Risk Manager;Customer Service;17.36302715;10951.1416
3425;304;A;2019/01/14 16:16:53;2019/01/14 16:16:53;No;Check application form completeness;Loan Officer;Customer Service;10.10703769;9384.663722
3426;313;A;2019/01/14 16:20:00;2019/01/14 16:20:00;No;Check application form completeness;Loan Officer;Customer Service;10.00447422;6051.760035
3427;310;C;2019/01/14 16:21:10;2019/01/14 16:21:10;No;Receive updated application;Loan Officer;Customer Service;9.864258631;7030.417341
3428;264;N;2019/01/14 16:22:18;2019/01/14 16:22:18;No;Cancel application;Loan Officer;Customer Service;8.548108301;7787.029668
3429;299;N;2019/01/14 16:22:37;2019/01/14 16:22:37;No;Cancel application;Loan Officer;Customer Service;10.18444234;7342.010204
3430;303;L;2019/01/14 16:25:34;2019/01/14 16:25:34;No;Send acceptance pack;Loan Officer;Customer Service;16.04886146;9188.340024
3431;312;B;2019/01/14 16:27:16;2019/01/14 16:27:16;No;Return application back to applicant;Loan Officer;Customer Service;7.843558742;9718.344703
3432;298;K;2019/01/14 16:28:19;2019/01/14 16:28:19;No;Send home insurance quote;Insurance Agent;Customer Service;6.435200351;7363.785065
3433;309;E;2019/01/14 16:30:59;2019/01/14 16:30:59;No;Assess loan risk;Risk Manager;Customer Service;22.65186999;10564.22509
3434;308;B;2019/01/14 16:32:20;2019/01/14 16:32:20;No;Return application back to applicant;Loan Officer;Customer Service;5.559800483;10970.89437
3435;294;G;2019/01/14 16:32:56;2019/01/14 16:32:56;No;Assess eligibility;Risk Manager;Customer Service;16.5006689;12262.22174
3436;305;E;2019/01/14 16:33:20;2019/01/14 16:33:20;No;Assess loan risk;Risk Manager;Customer Service;16.05368433;11337.38063
3437;306;F;2019/01/14 16:35:26;2019/01/14 16:35:26;No;Appraise property;Appraiser;Customer Service;28.04995172;9031.179883
3438;302;I;2019/01/14 16:35:46;2019/01/14 16:35:46;No;Prepare acceptance pack;Loan Officer;Customer Service;13.64827955;11230.56293
3439;301;A;2019/01/14 16:36:26;2019/01/14 16:36:26;No;Check application form completeness;Loan Officer;Customer Service;10.87025602;11604.07139
3440;300;A;2019/01/14 16:39:32;2019/01/14 16:39:32;No;Check application form completeness;Loan Officer;Customer Service;8.623303654;10379.08152
3441;289;B;2019/01/14 16:39:41;2019/01/14 16:39:41;No;Return application back to applicant;Loan Officer;Customer Service;6.450970121;12286.90782
3442;314;A;2019/01/14 16:40:00;2019/01/14 16:40:00;No;Check application form completeness;Loan Officer;Customer Service;10.00328858;8163.719969
3443;311;C;2019/01/14 16:40:58;2019/01/14 16:40:58;No;Receive updated application;Loan Officer;Customer Service;8.835296175;9097.823206
3444;310;A;2019/01/14 16:45:49;2019/01/14 16:45:49;No;Check application form completeness;Loan Officer;Customer Service;13.4414104;7030.417341
3445;307;I;2019/01/14 16:47:40;2019/01/14 16:47:40;No;Prepare acceptance pack;Loan Officer;Customer Service;10.36596161;10951.1416
3446;303;M;2019/01/14 16:49:24;2019/01/14 16:49:24;No;Verify repayment agreement;Loan Officer;Customer Service;10.3805721;9188.340024
3447;304;B;2019/01/14 16:49:32;2019/01/14 16:49:32;No;Return application back to applicant;Loan Officer;Customer Service;5.997036857;9384.663722
3448;313;B;2019/01/14 16:49:50;2019/01/14 16:49:50;No;Return application back to applicant;Loan Officer;Customer Service;8.35609198;6051.760035
3449;309;G;2019/01/14 16:55:31;2019/01/14 16:55:31;No;Assess eligibility;Risk Manager;Customer Service;17.5710774;10564.22509
3450;312;C;2019/01/14 16:58:00;2019/01/14 16:58:00;No;Receive updated application;Loan Officer;Customer Service;7.125460374;9718.344703
3451;315;A;2019/01/14 17:00:00;2019/01/14 17:00:00;No;Check application form completeness;Loan Officer;Customer Service;6.679807607;8790.863271
3452;298;M;2019/01/14 17:00:44;2019/01/14 17:00:44;No;Verify repayment agreement;Loan Officer;Customer Service;5.76788869;7363.785065
3453;305;G;2019/01/14 17:00:46;2019/01/14 17:00:46;No;Assess eligibility;Risk Manager;Customer Service;22.08420236;11337.38063
3454;300;B;2019/01/14 17:02:29;2019/01/14 17:02:29;No;Return application back to applicant;Loan Officer;Customer Service;6.08986422;10379.08152
3455;308;C;2019/01/14 17:02:49;2019/01/14 17:02:49;No;Receive updated application;Loan Officer;Customer Service;8.131378112;10970.89437
3456;294;H;2019/01/14 17:03:51;2019/01/14 17:03:51;No;Reject application;Loan Officer;Customer Service;11.74909201;12262.22174
3457;301;D;2019/01/14 17:04:21;2019/01/14 17:04:21;No;Check credit history;Credit Analyst;Customer Service;15.31380212;11604.07139
3458;306;E;2019/01/14 17:05:10;2019/01/14 17:05:10;No;Assess loan risk;Risk Manager;Customer Service;17.86853306;9031.179883
3459;311;A;2019/01/14 17:07:48;2019/01/14 17:07:48;No;Check application form completeness;Loan Officer;Customer Service;10.30154979;9097.823206
3460;302;J;2019/01/14 17:10:09;2019/01/14 17:10:09;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;11.36505193;11230.56293
3461;314;B;2019/01/14 17:11:09;2019/01/14 17:11:09;No;Return application back to applicant;Loan Officer;Customer Service;6.07212443;8163.719969
3462;289;C;2019/01/14 17:12:42;2019/01/14 17:12:42;No;Receive updated application;Loan Officer;Customer Service;7.449980123;12286.90782
3463;303;O;2019/01/14 17:15:51;2019/01/14 17:15:51;No;Approve application;Loan Officer;Customer Service;13.50540392;9188.340024
3464;310;D;2019/01/14 17:17:25;2019/01/14 17:17:25;No;Check credit history;Credit Analyst;Customer Service;15.82256049;7030.417341
3465;304;C;2019/01/14 17:18:12;2019/01/14 17:18:12;No;Receive updated application;Loan Officer;Customer Service;7.800884723;9384.663722
3466;313;C;2019/01/14 17:19:29;2019/01/14 17:19:29;No;Receive updated application;Loan Officer;Customer Service;10.19801627;6051.760035
3467;316;A;2019/01/14 17:20:00;2019/01/14 17:20:00;No;Check application form completeness;Loan Officer;Customer Service;9.8225212;10496.52264
